"","n","delta","n_mi","est1","sd_true1","sd_est1","wb_sd_est1","bias1","wb_bias1","covr1","covr_wb1"
"1",500,99,10,"85.2","55.1","60.6","58.1","9.90","5.36","96.8","95.7"
"2",500,99,20,"84.4","53.8","60.3","55.2","12.03","2.53","97.3","95.3"
"3",500,99,50,"87.1","53.2","60.2","53.5","13.08","0.55","97.0","94.7"
"4",500,88,NA,"93.9","54.4","NA","55.5"," NA","1.95","NA","95.2"
"5",1000,99,10,"86.1","38.9","42.8","41.1","10.16","5.81","96.8","96.3"
"6",1000,99,20,"83.5","38.7","42.7","39.1","10.53","1.13","96.3","95.3"
"7",1000,99,50,"86.6","38.1","42.5","37.9","11.56","-0.70","96.2","94.6"
"8",1000,88,NA,"93.1","39.3","NA","39.3"," NA","-0.10","NA","94.2"
