"","n","delta","n_mi","est1","sd_true1","sd_est1","wb_sd_est1","bias1","wb_bias1","covr1","covr_wb1"
"1",500,99,10,"1698.5","38.0","42.3","40.5","11.35","6.66","97.1","96.0"
"2",500,99,20,"1697.8","39.1","42.2","38.2","7.88","-2.31","96.3","93.6"
"3",500,99,50,"1700.2","37.1","42.1","37.0","13.41","-0.27","97.6","94.7"
"4",500,88,NA,"1702.7","38.5","NA","38.5"," NA","0.16","NA","94.6"
"5",1000,99,10,"1698.6","26.6","29.9","28.7","12.52","7.89","97.3","96.6"
"6",1000,99,20,"1697.6","27.0","29.9","27.2","10.91","0.61","97.1","94.9"
"7",1000,99,50,"1699.0","27.4","29.7","26.2","8.68","-4.26","96.4","93.9"
"8",1000,88,NA,"1701.9","27.5","NA","27.3"," NA","-1.01","NA","94.0"
